filename,battery_name,nominal_capacity,anode,cathode,electrolyte,dataset_name
batch_B6A_cell_10.h5,CAMP_batch_B6A_cell_10,0.3,C,NMC111,Gen 2,camp_2023
batch_B32C_cell_2.h5,CAMP_batch_B32C_cell_2,0.4,C,NMC532,Gen 2,camp_2023
batch_B6A_cell_41.h5,CAMP_batch_B6A_cell_41,0.3,C,NMC111,Gen 2,camp_2023
batch_B11A_cell_12.h5,CAMP_batch_B11A_cell_12,0.2,LTO,5Vspinel,Gen 2,camp_2023
batch_B6D_cell_11.h5,CAMP_batch_B6D_cell_11,0.3,C,NMC111,Gen 2,camp_2023
batch_B32F_cell_1.h5,CAMP_batch_B32F_cell_1,0.4,C,NMC111,Gen 2,camp_2023
batch_B6D_cell_9.h5,CAMP_batch_B6D_cell_9,0.3,C,NMC111,Gen 2,camp_2023
batch_B13A_cell_14.h5,CAMP_batch_B13A_cell_14,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B27A_cell_2.h5,CAMP_batch_B27A_cell_2,0.4,C,NMC111,Gen 2,camp_2023
batch_B13A_cell_5.h5,CAMP_batch_B13A_cell_5,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B32E_cell_3.h5,CAMP_batch_B32E_cell_3,0.4,C,NMC111,Gen 2,camp_2023
batch_B26C_cell_3.h5,CAMP_batch_B26C_cell_3,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B11B_cell_9.h5,CAMP_batch_B11B_cell_9,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B21A_cell_4.h5,CAMP_batch_B21A_cell_4,0.1,C,NMC111,Gen 2,camp_2023
batch_B38B_cell_3.h5,CAMP_batch_B38B_cell_3,,C,NMC622,Gen 2,camp_2023
batch_B6A_cell_30.h5,CAMP_batch_B6A_cell_30,0.3,C,NMC111,Gen 2,camp_2023
batch_B26H_cell_2.h5,CAMP_batch_B26H_cell_2,0.25,C,5Vspinel,E4,camp_2023
batch_B6A_cell_14.h5,CAMP_batch_B6A_cell_14,0.3,C,NMC111,Gen 2,camp_2023
batch_B34E_cell_1.h5,CAMP_batch_B34E_cell_1,0.02,C,NMC622,Gen 2,camp_2023
batch_B13A_cell_10.h5,CAMP_batch_B13A_cell_10,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B27A_cell_6.h5,CAMP_batch_B27A_cell_6,0.4,C,NMC111,Gen 2,camp_2023
batch_B2A_cell_6.h5,CAMP_batch_B2A_cell_6,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B32A_cell_1.h5,CAMP_batch_B32A_cell_1,0.4,C,NMC532,Gen 2,camp_2023
batch_B26G_cell_1.h5,CAMP_batch_B26G_cell_1,0.25,C,5Vspinel,E3,camp_2023
batch_B1_cell_5.h5,CAMP_batch_B1_cell_5,0.375,C,HE5050,Gen 2,camp_2023
batch_B9A_cell_11.h5,CAMP_batch_B9A_cell_11,0.3,C,HE5050,Gen 2,camp_2023
batch_B7A_cell_12.h5,CAMP_batch_B7A_cell_12,0.3,C,NMC532,Gen 2,camp_2023
batch_B19A_cell_20.h5,CAMP_batch_B19A_cell_20,0.5,C,FCG,Gen 2,camp_2023
batch_B5A_cell_6.h5,CAMP_batch_B5A_cell_6,0.3,C,5Vspinel,Gen 2,camp_2023
batch_B31B_cell_4.h5,CAMP_batch_B31B_cell_4,0.4,C,NMC111,Gen 2,camp_2023
batch_B8A_cell_2.h5,CAMP_batch_B8A_cell_2,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B26B_cell_2.h5,CAMP_batch_B26B_cell_2,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B32D_cell_2.h5,CAMP_batch_B32D_cell_2,0.4,C,NMC111,Gen 2,camp_2023
batch_B11A_cell_4.h5,CAMP_batch_B11A_cell_4,0.2,LTO,5Vspinel,Gen 2,camp_2023
batch_B26A_cell_4.h5,CAMP_batch_B26A_cell_4,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B31D_cell_1.h5,CAMP_batch_B31D_cell_1,0.4,C,NMC111,Gen 2,camp_2023
batch_B7B_cell_Unknown.h5,CAMP_batch_B7B_cell_Unknown,0.3,C,NMC532,Gen 2,camp_2023
batch_B26I_cell_3.h5,CAMP_batch_B26I_cell_3,0.25,C,5Vspinel,E5,camp_2023
batch_B31A_cell_2.h5,CAMP_batch_B31A_cell_2,0.4,C,NMC111,Gen 2,camp_2023
batch_B14A_cell_5.h5,CAMP_batch_B14A_cell_5,0.3,C,HE5050,Gen 2,camp_2023
batch_B6A_cell_5.h5,CAMP_batch_B6A_cell_5,0.3,C,NMC111,Gen 2,camp_2023
batch_B7A_cell_16.h5,CAMP_batch_B7A_cell_16,0.3,C,NMC532,Gen 2,camp_2023
batch_B19A_cell_24.h5,CAMP_batch_B19A_cell_24,0.5,C,FCG,Gen 2,camp_2023
batch_B26J_cell_1.h5,CAMP_batch_B26J_cell_1,0.25,C,5Vspinel,E6,camp_2023
batch_B9A_cell_15.h5,CAMP_batch_B9A_cell_15,0.3,C,HE5050,Gen 2,camp_2023
batch_B11B_cell_6.h5,CAMP_batch_B11B_cell_6,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B8A_cell_6.h5,CAMP_batch_B8A_cell_6,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B5A_cell_10.h5,CAMP_batch_B5A_cell_10,0.3,C,5Vspinel,Gen 2,camp_2023
batch_B3B_cell_6.h5,CAMP_batch_B3B_cell_6,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B12A_cell_12.h5,CAMP_batch_B12A_cell_12,0.3,C,HE5050,Gen 2,camp_2023
batch_B37A_cell_4.h5,CAMP_batch_B37A_cell_4,,C_Si,NMC622,Gen 2,camp_2023
batch_B26O_cell_2.h5,CAMP_batch_B26O_cell_2,0.25,C,5Vspinel,E11,camp_2023
batch_B2A_cell_9.h5,CAMP_batch_B2A_cell_9,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B26R_cell_5.h5,CAMP_batch_B26R_cell_5,0.25,C,5Vspinel,E14,camp_2023
batch_B9C_cell_3.h5,CAMP_batch_B9C_cell_3,0.3,C,HE5050,Gen 2,camp_2023
batch_B6D_cell_2.h5,CAMP_batch_B6D_cell_2,0.3,C,NMC111,Gen 2,camp_2023
batch_B26AA_cell_3.h5,CAMP_batch_B26AA_cell_3,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B19A_cell_5.h5,CAMP_batch_B19A_cell_5,0.5,C,FCG,Gen 2,camp_2023
batch_B32B_cell_3.h5,CAMP_batch_B32B_cell_3,0.4,C,NMC532,Gen 2,camp_2023
batch_B20B_cell_4.h5,CAMP_batch_B20B_cell_4,,C_Si,NMC532,Gen2,camp_2023
batch_B26D_cell_3.h5,CAMP_batch_B26D_cell_3,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B6A_cell_1.h5,CAMP_batch_B6A_cell_1,0.3,C,NMC111,Gen 2,camp_2023
batch_B39A_cell_3.h5,CAMP_batch_B39A_cell_3,0.5,C,NMC622,Gen 2,camp_2023
batch_B14A_cell_1.h5,CAMP_batch_B14A_cell_1,0.3,C,HE5050,Gen 2,camp_2023
batch_B5A_cell_3.h5,CAMP_batch_B5A_cell_3,0.3,C,5Vspinel,Gen 2,camp_2023
batch_B26T_cell_1.h5,CAMP_batch_B26T_cell_1,0.25,C,5Vspinel,E16,camp_2023
batch_B31B_cell_1.h5,CAMP_batch_B31B_cell_1,0.4,C,NMC111,Gen 2,camp_2023
batch_B26G_cell_4.h5,CAMP_batch_B26G_cell_4,0.25,C,5Vspinel,E3,camp_2023
batch_B9A_cell_14.h5,CAMP_batch_B9A_cell_14,0.3,C,HE5050,Gen 2,camp_2023
batch_B11B_cell_7.h5,CAMP_batch_B11B_cell_7,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B8A_cell_7.h5,CAMP_batch_B8A_cell_7,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B5A_cell_11.h5,CAMP_batch_B5A_cell_11,0.3,C,5Vspinel,Gen 2,camp_2023
batch_B26Q_cell_2.h5,CAMP_batch_B26Q_cell_2,0.25,C,5Vspinel,E13,camp_2023
batch_B2A_cell_8.h5,CAMP_batch_B2A_cell_8,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B3A_cell_1.h5,CAMP_batch_B3A_cell_1,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B12B_cell_4.h5,CAMP_batch_B12B_cell_4,0.3,C,HE5050,Gen 2,camp_2023
batch_B31D_cell_4.h5,CAMP_batch_B31D_cell_4,0.4,C,NMC111,Gen 2,camp_2023
batch_B26A_cell_1.h5,CAMP_batch_B26A_cell_1,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B27A_cell_8.h5,CAMP_batch_B27A_cell_8,0.4,C,NMC111,Gen 2,camp_2023
batch_B9C_cell_2.h5,CAMP_batch_B9C_cell_2,0.3,C,HE5050,Gen 2,camp_2023
batch_B19A_cell_4.h5,CAMP_batch_B19A_cell_4,0.5,C,FCG,Gen 2,camp_2023
batch_B26AA_cell_2.h5,CAMP_batch_B26AA_cell_2,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B32B_cell_2.h5,CAMP_batch_B32B_cell_2,0.4,C,NMC532,Gen 2,camp_2023
batch_B20B_cell_5.h5,CAMP_batch_B20B_cell_5,,C_Si,NMC532,Gen2,camp_2023
batch_B34D_cell_5.h5,CAMP_batch_B34D_cell_5,0.02,C,NMC811,Gen 2,camp_2023
batch_B26D_cell_2.h5,CAMP_batch_B26D_cell_2,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B7A_cell_9.h5,CAMP_batch_B7A_cell_9,0.3,C,NMC532,Gen 2,camp_2023
batch_B39A_cell_2.h5,CAMP_batch_B39A_cell_2,0.5,C,NMC622,Gen 2,camp_2023
batch_B19A_cell_15.h5,CAMP_batch_B19A_cell_15,0.5,C,FCG,Gen 2,camp_2023
batch_B1_cell_4.h5,CAMP_batch_B1_cell_4,0.375,C,HE5050,Gen 2,camp_2023
batch_B9A_cell_10.h5,CAMP_batch_B9A_cell_10,0.3,C,HE5050,Gen 2,camp_2023
batch_B26Y_cell_1.h5,CAMP_batch_B26Y_cell_1,0.25,C,5Vspinel,E21,camp_2023
batch_B7A_cell_13.h5,CAMP_batch_B7A_cell_13,0.3,C,NMC532,Gen 2,camp_2023
batch_B19A_cell_21.h5,CAMP_batch_B19A_cell_21,0.5,C,FCG,Gen 2,camp_2023
batch_B26J_cell_4.h5,CAMP_batch_B26J_cell_4,0.25,C,5Vspinel,E6,camp_2023
batch_B37A_cell_1.h5,CAMP_batch_B37A_cell_1,,C_Si,NMC622,Gen 2,camp_2023
batch_B8A_cell_3.h5,CAMP_batch_B8A_cell_3,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B26B_cell_3.h5,CAMP_batch_B26B_cell_3,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B11B_cell_3.h5,CAMP_batch_B11B_cell_3,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B32D_cell_3.h5,CAMP_batch_B32D_cell_3,0.4,C,NMC111,Gen 2,camp_2023
batch_B11A_cell_5.h5,CAMP_batch_B11A_cell_5,0.2,LTO,5Vspinel,Gen 2,camp_2023
batch_B6D_cell_7.h5,CAMP_batch_B6D_cell_7,0.3,C,NMC111,Gen 2,camp_2023
batch_B9C_cell_6.h5,CAMP_batch_B9C_cell_6,0.3,C,HE5050,Gen 2,camp_2023
batch_B3A_cell_5.h5,CAMP_batch_B3A_cell_5,0.3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,camp_2023
batch_B26I_cell_2.h5,CAMP_batch_B26I_cell_2,0.25,C,5Vspinel,E5,camp_2023
batch_B31A_cell_3.h5,CAMP_batch_B31A_cell_3,0.4,C,NMC111,Gen 2,camp_2023
batch_B14A_cell_4.h5,CAMP_batch_B14A_cell_4,0.3,C,HE5050,Gen 2,camp_2023
batch_B34D_cell_1.h5,CAMP_batch_B34D_cell_1,0.02,C,NMC811,Gen 2,camp_2023
batch_B20B_cell_1.h5,CAMP_batch_B20B_cell_1,,C_Si,NMC532,Gen2,camp_2023
batch_B6A_cell_4.h5,CAMP_batch_B6A_cell_4,0.3,C,NMC111,Gen 2,camp_2023
batch_B26T_cell_2.h5,CAMP_batch_B26T_cell_2,0.25,C,5Vspinel,E16,camp_2023
batch_B28A_cell_48.h5,CAMP_batch_B28A_cell_48,0.3,C_Si,NMC532,Gen 2,camp_2023
batch_B16A_cell_9.h5,CAMP_batch_B16A_cell_9,0.4,C_Si,NMC532,Gen 2,camp_2023
batch_B19A_cell_12.h5,CAMP_batch_B19A_cell_12,0.5,C,FCG,Gen 2,camp_2023
batch_B7A_cell_20.h5,CAMP_batch_B7A_cell_20,0.3,C,NMC532,Gen 2,camp_2023
batch_B34B_cell_3.h5,CAMP_batch_B34B_cell_3,0.02,C,NMC811,Gen 2,camp_2023
batch_B11B_cell_4.h5,CAMP_batch_B11B_cell_4,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B12A_cell_1.h5,CAMP_batch_B12A_cell_1,0.3,C,HE5050,Gen 2,camp_2023
batch_B13A_cell_8.h5,CAMP_batch_B13A_cell_8,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B19A_cell_7.h5,CAMP_batch_B19A_cell_7,0.5,C,FCG,Gen 2,camp_2023
